date,number_of_wallets
11/1/2011,0
12/1/2011,0
1/1/2012,0
2/1/2012,0
3/1/2012,0
4/1/2012,10000
5/1/2012,10000
6/1/2012,10000
7/1/2012,10000
8/1/2012,20000
9/1/2012,30000
10/1/2012,30000
11/1/2012,40000
12/1/2012,70000
1/1/2013,100000
2/1/2013,120000
3/1/2013,150000
4/1/2013,230000
5/1/2013,280000
6/1/2013,320000
7/1/2013,360000
8/1/2013,400000
9/1/2013,440000
10/1/2013,480000
11/1/2013,580000
12/1/2013,890000
1/1/2014,1070000
2/1/2014,1260000
3/1/2014,1400000
4/1/2014,1510000
5/1/2014,1620000
6/1/2014,1740000
7/1/2014,1940000
8/1/2014,2110000
9/1/2014,2270000
10/1/2014,2420000
11/1/2014,2570000
12/1/2014,2710000
1/1/2015,2850000
2/1/2015,3020000
3/1/2015,3160000
4/1/2015,3320000
5/1/2015,3470000
6/1/2015,3640000
7/1/2015,3870000
8/1/2015,4110000
9/1/2015,4330000
10/1/2015,4620000
11/1/2015,4950000
12/1/2015,5340000
1/1/2016,5780000
2/1/2016,6130000
3/1/2016,6530000
4/1/2016,6910000
5/1/2016,7310000
6/1/2016,7680000
7/1/2016,8020000
8/1/2016,8360000
9/1/2016,8770000
10/1/2016,9260000
11/1/2016,9920000
12/1/2016,10690000
1/1/2017,11680000
2/1/2017,12010000
3/1/2017,12640000
4/1/2017,13160000
5/1/2017,14190000
6/1/2017,14860000
7/1/2017,15200000
8/1/2017,16460000
9/1/2017,17260000
10/1/2017,18060000
11/1/2017,19340000
12/1/2017,21510000
1/1/2018,22650000
2/1/2018,23360000
3/1/2018,23930000
4/1/2018,24360000
5/1/2018,24990000
6/1/2018,25650000
7/1/2018,26820000
8/1/2018,28090000
9/1/2018,28870000
10/1/2018,29760000
11/1/2018,31130000
12/1/2018,31910000
1/1/2019,32820000
2/1/2019,33760000
3/1/2019,34650000
4/1/2019,36570000
5/1/2019,38860000
6/1/2019,40070000
7/1/2019,40910000
8/1/2019,41610000
9/1/2019,42290000
10/1/2019,43040000
11/1/2019,43870000
12/1/2019,44510000
1/1/2020,45450000
2/1/2020,46240000
3/1/2020,47120000
4/1/2020,48180000
5/1/2020,49590000
6/1/2020,50680000
7/1/2020,52030000
8/1/2020,53170000
9/1/2020,54250000
10/1/2020,55650000
11/1/2020,60360000
12/1/2020,63480000
1/1/2021,66220000
2/1/2021,68790000
3/1/2021,70650000
4/1/2021,72260000
5/1/2021,73510000
6/1/2021,74530000
7/1/2021,75110000
8/1/2021,76320000
9/1/2021,77120000
10/1/2021,78550000
11/1/2021,79570000
12/1/2021,80240000
1/1/2022,81210000
2/1/2022,81630000
3/1/2022,82140000
4/1/2022,82570000
5/1/2022,82950000
6/1/2022,83270000
7/1/2022,83550000
8/1/2022,84220000
9/1/2022,84700000
10/1/2022,84940000
11/1/2022,84950000
